stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops,Nearest Metro,Metro Line,Metro Distance (m),Walking Time (min),PR_norm,Degree_norm,Distance_norm,Routes_norm,Accessibility,LMCI,Betweenness_norm,PageRank_norm,Trips_norm,LMCI Category
Pitampura RU Block,28.71064,77.13667,48,48,0.002776375567895,0.0017773386636426,0.0002342984216813,"Pitampura RU Block (82 m), Pitampura RU-Block (316 m), RU Block Power House (311 m), Ptampura Power House (343 m), Prashant Vihar (348 m)",Pitam Pura,Red Line,924.22,11.09,0.10972049096674531,0.4000000000000095,0.05371708023150011,0.14156626506024098,0.9462829197684999,0.395,0.015085269104414085,0.10972049096674531,0.14156626506024098,Poor
Pitampura RU Block,28.70992,77.13649,48,48,0.002776375567895,0.0017773386636426,0.0002342984216813,"Pitampura RU Block (82 m), Pitampura RU-Block (235 m), RU Block Power House (238 m), Ptampura Power House (265 m), Pitampura Power House (304 m)",Pitam Pura,Red Line,845.74,10.15,0.10972049096674531,0.4000000000000095,0.04915130585335998,0.14156626506024098,0.95084869414664,0.396,0.015085269104414085,0.10972049096674531,0.14156626506024098,Poor
Pitampura RU-Block,28.7078,77.1364,4,4,0.0010095911155981,4.905889938189156e-05,0.000127265909001,"Ptampura Power House (48 m), RU Block Power House (169 m), Pitampura Power House (180 m), Pitampura Power House (183 m), Power House Pitam Pura (185 m)",Pitam Pura,Red Line,645.6,7.75,0.04853122583768045,0.11999999999999496,0.03750765034825083,0.009036144578313254,0.9624923496517491,0.32,0.0004163903673965346,0.04853122583768045,0.009036144578313254,Poor
Pitampura CD Block (Aggrasen Model School),28.705913,77.138568,15,15,0.0015143866733972,0.0009787026016041,0.0002049107518199,"Pitampura CD-Block (11 m), Ptampura Power House (251 m), Pittampura AP-Block (295 m), Pittampura AP-Block (301 m), Pitampura RU-Block (298 m)",Pitam Pura,Red Line,683.47,8.2,0.0929198957303634,0.19999999999999685,0.039710834289384454,0.04216867469879518,0.9602891657106155,0.349,0.008306797359671273,0.0929198957303634,0.04216867469879518,Poor
Pittampura AP-Block,28.703376,77.139486,32,32,0.0012619888944977,0.00167844719535,0.0002186672790243,"Pittampura AP-Block (21 m), Pitampura CD Block (Aggrasen Model School) (295 m), Pitampura CD-Block (303 m), Pitam Pura KD Block (368 m), Pitam Pura KD Block (386 m)",Kohat Enclave,Red Line,600.12,7.2,0.10078434522599926,0.1600000000000038,0.0348617352269739,0.09337349397590362,0.9651382647730261,0.355,0.014245921802832802,0.10078434522599926,0.09337349397590362,Poor
Pitam Pura KD Block,28.700344,77.141026,32,32,0.0010095911155981,0.0001969158444393,0.0001593108116746,"Pitam Pura KD Block (18 m), DAV School (282 m), DAV Stop (297 m), Kohat Enclave Metro Station (350 m), DAV School (322 m)",Kohat Enclave,Red Line,259.58,3.12,0.0668509307257344,0.11999999999999496,0.015049951247210383,0.09337349397590362,0.9849500487527896,0.344,0.0016713351062772569,0.0668509307257344,0.09337349397590362,Poor
DAV School,28.699811,77.145005,31,31,0.0020191822311963,0.0020097544200812,0.0003474043189275,"ND- Block Pitam Pura (46 m), ND Block Pitampura (64 m), DAV School (72 m), DAV Stop (96 m), Pitampura ND Block (98 m)",Kohat Enclave,Red Line,478.43,5.74,0.1743818406907374,0.27999999999999875,0.027782108773407737,0.09036144578313254,0.9722178912265923,0.393,0.017057911854894005,0.1743818406907374,0.09036144578313254,Poor
TV Tower (Power House),28.700093,77.151621,32,32,0.0020191822311963,0.0012040822629876,0.0004401566366049,"TV Tower (Power House) (59 m), Guru Govind Singh College (218 m), Guru Govind Singh College (243 m), Pitam Pura DD Office (350 m), Punjab Kesari (572 m)",Netaji Subhash Place,Red Line,458.84,5.51,0.22740728142433866,0.27999999999999875,0.026642410505469852,0.09337349397590362,0.9733575894945301,0.406,0.01021972082900255,0.22740728142433866,0.09337349397590362,Poor
Guru Govind Singh College,28.698123,77.151681,31,31,0.0012619888944977,0.0003821579730688,0.00019560280988,"Guru Govind Singh College (32 m), TV Tower (Power House) (182 m), TV Tower (Power House) (218 m), Pitam Pura DD Office (380 m), Netaji Subhash Palace (Wazirpur Depot) Road No 41 (445 m)",Netaji Subhash Place,Red Line,247.97,2.98,0.08759865162514759,0.1600000000000038,0.014374509854113966,0.09036144578313254,0.9856254901458861,0.356,0.003243588845541222,0.08759865162514759,0.09036144578313254,Poor
Netaji Subhash Palace (Wazirpur Depot) Road No 41,28.694143,77.151048,39,39,0.0020191822311963,0.0033393091126816,0.000312415680229,"Netaji Subhash Palace (Wazirpur Depot) Road No 41 (2 m), Wazirpur DTC Depot / Netaji Subhash Palace (34 m), Wazirpur DTC Depot / Netaji Subhash Palace (36 m), Wazirpur DTC Depot / Netaji Subhash Palace (51 m), TV Tower Pitam Pura (137 m)",Netaji Subhash Place,Red Line,262.62,3.15,0.15437923553633529,0.27999999999999875,0.015226811009054752,0.11445783132530121,0.9847731889909452,0.397,0.028342587497862365,0.15437923553633529,0.11445783132530121,Poor
Netaji Subash Place/Wazirpur Depot,28.694778,77.154843,29,29,0.0012619888944977,0.0001837282101977,0.0001517604422122,"Wazirpur Depot / Subhash Place Depot (8 m), Wazirpur Depot / Subhash Place Depot (10 m), Punjab Kesari (136 m), Punjab Kesari (Subhash Palace Depot) (157 m), Punjab Kesari (176 m)",Netaji Subhash Place,Red Line,257.41,3.09,0.06253447073345933,0.1600000000000038,0.01492370595668332,0.08433734939759037,0.9850762940433166,0.348,0.0015594042652649974,0.06253447073345933,0.08433734939759037,Poor
Prem Bari Pull,28.700253,77.158334,59,59,0.0020191822311963,0.0022824106001931,0.0003672085370138,"Prem Bari Pul (24 m), Prem Bari Pull (25 m), Prembari Pul (333 m), Richi Rich (350 m), Richi Rich (369 m)",Netaji Subhash Place,Red Line,725.51,8.71,0.18570368599559373,0.27999999999999875,0.0421566186275217,0.1746987951807229,0.9578433813724783,0.405,0.019372097628324463,0.18570368599559373,0.1746987951807229,Poor
Richi Rich,28.701286,77.161926,101,101,0.0030287733467945,0.0010314152229837,0.0004814949861677,"Richi Rich (36 m), Ashok Vihar Crossing (242 m), Ashok Vihar Crossing (349 m), Ashok Vihar Crossing (357 m), Prem Bari Pull (362 m)",Netaji Subhash Place,Red Line,1076.98,12.92,0.25103994376266475,0.44000000000000256,0.0626042832641796,0.30120481927710846,0.9373957167358205,0.456,0.00875419891289054,0.25103994376266475,0.30120481927710846,Poor
