stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops
DAV School,28.699811,77.145005,31,31,0.0020191822311963654,0.002009754420081224,0.0003474043189275496,"ND- Block Pitam Pura (46 m), ND Block Pitampura (64 m), DAV School (72 m), DAV Stop (96 m), Pitampura ND Block (98 m)"
TV Tower (Power House),28.700093,77.151621,32,32,0.0020191822311963654,0.001204082262987608,0.0004401566366049484,"TV Tower (Power House) (59 m), Guru Govind Singh College (218 m), Guru Govind Singh College (243 m), Pitam Pura DD Office (350 m), Punjab Kesari (572 m)"
Guru Govind Singh College,28.698123,77.151681,31,31,0.0012619888944977284,0.0003821579730688784,0.00019560280988005838,"Guru Govind Singh College (32 m), TV Tower (Power House) (182 m), TV Tower (Power House) (218 m), Pitam Pura DD Office (380 m), Netaji Subhash Palace (Wazirpur Depot) Road No 41 (445 m)"
Netaji Subhash Palace (Wazirpur Depot) Road No 41,28.694143,77.151048,39,39,0.0020191822311963654,0.0033393091126816318,0.0003124156802290687,"Netaji Subhash Palace (Wazirpur Depot) Road No 41 (2 m), Wazirpur DTC Depot / Netaji Subhash Palace (34 m), Wazirpur DTC Depot / Netaji Subhash Palace (36 m), Wazirpur DTC Depot / Netaji Subhash Palace (51 m), TV Tower Pitam Pura (137 m)"
Netaji Subash Place/Wazirpur Depot,28.694778,77.154843,29,29,0.0012619888944977284,0.00018372821019772611,0.00015176044221224533,"Wazirpur Depot / Subhash Place Depot (8 m), Wazirpur Depot / Subhash Place Depot (10 m), Punjab Kesari (136 m), Punjab Kesari (Subhash Palace Depot) (157 m), Punjab Kesari (176 m)"
Prem Bari Pull,28.700253,77.158334,59,59,0.0020191822311963654,0.002282410600193187,0.0003672085370138935,"Prem Bari Pul (24 m), Prem Bari Pull (25 m), Prembari Pul (333 m), Richi Rich (350 m), Richi Rich (369 m)"
Richi Rich,28.701286,77.161926,101,101,0.003028773346794548,0.001031415222983707,0.00048149498616770913,"Richi Rich (36 m), Ashok Vihar Crossing (242 m), Ashok Vihar Crossing (349 m), Ashok Vihar Crossing (357 m), Prem Bari Pull (362 m)"
Ashok Vihar Crossing,28.701953,77.164286,107,107,0.005047955577990914,0.011724679459567176,0.0011433611709086035,"Ashok Vihar Crossing (109 m), Ashok Vihar Crossing (123 m), Ashok Vihar Crossing (211 m), Richi Rich (242 m), Wazir Pur Industrial Area/ Ashok Vihar Crossing (254 m)"
Azadpur Terminal,28.707667,77.180271,246,246,0.005300353356890459,0.008256601546275312,0.0009428565513059848,"Azadpur Metro station (61 m), Azadpur Terminal (72 m), Azadpur Metro Station (77 m), Azadpur Terminal (Bara Bagh Road) (159 m), Azadpur Terminal (194 m)"
Model Town III,28.706127,77.185301,142,142,0.0012619888944977284,0.00011628198038821794,0.00019908206279921,"Model Town III (27 m), Azadpur Metro Station (447 m), Azadpur Metro station (460 m), Bara Bagh (536 m), Bara Bagh (548 m)"
Model Town II,28.704282,77.190629,144,144,0.001514386673397274,0.0017395051493714275,0.00022888001561575645,"Model Town II (28 m), Alpana Cinema (Model Town Mtr Stn) (343 m), Alpana Cinema (Model Town Mtr Stn) (348 m), Alpana Cinema (Model Town Mtr Stn) (354 m), Malik Pur Vill (523 m)"
Alpana Cinema (Model Town Mtr Stn),28.703017,77.193837,130,130,0.001514386673397274,0.0025563457489127628,0.0004599782491136587,"Alpana Cinema (Model Town Mtr Stn) (37 m), Alpana Cinema (Model Town Mtr Stn) (36 m), Malik Pur Vill (325 m), Model Town II (343 m), Model Town II (342 m)"
New Police Line,28.699589,77.202973,68,68,0.0017667844522968198,0.002257914261124296,0.000348008221736246,"New Police Lines (60 m), TB Hospital (227 m), TB Hospital (228 m), Vijay Nagar (237 m), GTB Nagar (297 m)"
GTB Nagar,28.698294,77.206554,145,145,0.002523977788995457,0.005086119196979024,0.0004692262712270365,"GTB Nagar (7 m), GTB Nagar (86 m), GTB Nagar (86 m), GTB Nagar / Haqiqat Nagar (93 m), GTB Nagar / Haqiqat Nagar (102 m)"
INS Hostel,28.696197,77.21214,148,148,0.0010095911155981827,0.004300496858593296,0.00020568639231012786,"INS Hostel (43 m), Vishwa Vidyalaya Metro Station (220 m), Khalsa College (281 m), Khalsa College (290 m), Vishwa Vidyalaya Metro Station (336 m)"
Vishwa Vidyalaya Metro Station,28.695022,77.215318,148,148,0.0012619888944977284,0.00543428679340857,0.0002722056584465014,"Vishwa Vidyalaya Metro Station (3 m), Lucknow Road (120 m), Vishwa Vidyalaya Metro Station (121 m), Social works school (257 m), Social Works School (272 m)"
Mall Road,28.69382,77.218624,179,179,0.0027763755678950025,0.014134212260032088,0.0003986891815004516,"Mall Road (27 m), Mall Road (30 m), Mall Road (124 m), Mall Road (127 m), Social Works School (128 m)"
Banarsi Daas Estate Timarpur,28.697403,77.220567,62,62,0.0005047955577990914,0.0013260434180473563,0.00011569895540043253,"Banarsi Daas Estate Timarpur (36 m), Mall Road (345 m), Timarpur (362 m), Timarpur (369 m), INMAS Hospital (346 m)"
Timarpur,28.701025,77.22127,62,62,0.0005047955577990914,0.0013364604604560084,0.00013617175381622112,"Timarpur (38 m), Timarpur (46 m), Timar Pur Qrts (229 m), Education Office (Lucknow Rd) (236 m), DDA Flats Lucknow Road (258 m)"
