stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops,Nearest Metro,Metro Line,Metro Distance (m),Walking Time (min)
Rohini Sec 35,28.757463,77.066964,25,25,0.000504795557799,0.0,9.389203754135153e-05,"Rohini Sec 35 (27 m), Barwala School (449 m), Barwala School (452 m), Barwala Village (691 m), Jain Colony (700 m)",Rithala,Red Line,5651.45,67.82
D2 Rohini Sec 15,28.734934,77.132843,6,6,0.0015143866733972,1.4790226995647118e-05,0.0003171437596593,"D2 Rohini Sec 15 (15 m), Manav Chowk (315 m), Rohini Sec 15 E (315 m), Manav Chowk (340 m), Rohini Sec15 E2 (382 m)",Rohini Sector 18,Yellow Line,780.57,9.37
Alok Kunj,28.727686,77.130562,10,10,0.0017667844522968,0.0006459279751668,0.0002243366061205,"Alok Kunj (10 m), Alok Kunj (34 m), Rohini Sec15 (185 m), Dena Apartments (340 m), Dena Apartment (348 m)",Rohini Sector 18,Yellow Line,1488.76,17.87
Hansraj College,28.6793,77.2084,12,12,0.0020191822311963,0.002179580871029,0.0004179447342003,"Hansraj College (33 m), Hansraj College / Malka Ganj (97 m), Malka Ganj Terminal (199 m), Malka Ganj Terminal (237 m), Shri Ram Institute (443 m)",Pul Bangash,Red Line,1435.0,17.22
Malka Ganj Terminal,28.677207,77.207926,20,20,0.0017667844522968,0.0018144514068702,0.0003091872062543,"Malka Ganj Terminal (43 m), Hansraj College / Malka Ganj (167 m), Hansraj College (208 m), Hansraj College (237 m), Gali Daak Khana (383 m)",Pul Bangash,Red Line,1201.13,14.41
Gali Daak Khana,28.6738,77.2073,19,19,0.0015143866733972,0.0017966482538854,0.000216179835716,"Gali Daak Khana (80 m), Ps Old Sabzi M (189 m), Malka Ganj Terminal (383 m), ps old subzi mandi (409 m), Malka Ganj Terminal (422 m)",Pul Bangash,Red Line,823.21,9.88
Thana Sabji Mandi / Ice Factory,28.669033,77.207983,6,6,0.0007571933366986,3.4114713428044097e-06,0.0001160320076284,"PS Sabzi Mandi / Ice Factory (58 m), ps old subzi mandi (126 m), Ice Factory (Roshanara Road) (174 m), PALACE CINEMA (224 m), Ice Factory (Rani Jhansi Road) (225 m)",Pul Bangash,Red Line,297.9,3.57
Safiabad Border,28.871233,77.081302,8,8,0.000504795557799,0.0,0.0001178313702627,"Safiabad Border (17 m), Shiv Mandir (81 m), Sanjay Colony (Safiabad) (1002 m), Sanjay Colony (Safiabad) (1019 m), Narela A-5 (1768 m)",Samaypur Badli,Yellow Line,15094.87,181.15
Sanjay Colony (Safiabad),28.86293,77.08579,8,8,0.0007571933366986,0.0009532371887977,0.0002642891492492,"Sanjay Colony (Safiabad) (26 m), Safiyabad Crossing (917 m), shafiabad more (939 m), Safiyabad Crossing (948 m), Ramdev Chowk / Pitori Johad (899 m)",Samaypur Badli,Yellow Line,14078.18,168.94
Novelty Cinema,28.6614,77.2211,11,11,0.0007571933366986,0.000151413366133,0.0003691013318687,"Peeli Kothi (333 m), Old Delhi Railway Station (Fatehpuri) (391 m), Old Delhi Railway Station (Fatehpuri) (391 m), Mori Gate Terminal (499 m), Mori Gate Terminal (501 m)",Tis Hazari,Red Line,771.18,9.25
